cik,ticker,name,sic_code,sic_descr,exchange,stateorcountry
320193,AAPL,Apple Inc.,3571,Electronic Computers,Nasdaq,CA
789019,MSFT,MICROSOFT CORP,7372,Services-Prepackaged Software,Nasdaq,WA
1652044,GOOG,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",Nasdaq,CA
1018724,AMZN,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses,Nasdaq,WA
1318605,TSLA,"Tesla, Inc.",3711,Motor Vehicles & Passenger Car Bodies,Nasdaq,CA
1326801,FB,"Meta Platforms, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",Nasdaq,CA
40545,GE,GENERAL ELECTRIC CO,3600,Electronic & Other Electrical Equipment (No Computer Equip),NYSE,MA
1067983,BRK-B,BERKSHIRE HATHAWAY INC,6331,"Fire, Marine & Casualty Insurance",NYSE,NE
1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,3674,Semiconductors & Related Devices,NYSE,"Taiwan, Province of China"
19617,AMJ,JPMORGAN CHASE & CO,6021,National Commercial Banks,NYSE,NY
1403161,V,VISA INC.,7389,"Services-Business Services, NEC",NYSE,CA
731766,UNH,UNITEDHEALTH GROUP INC,6324,Hospital & Medical Service Plans,NYSE,MN
354950,HD,"HOME DEPOT, INC.",5211,Retail-Lumber & Other Building Materials Dealers,NYSE,GA
200406,JNJ,JOHNSON & JOHNSON,2834,Pharmaceutical Preparations,NYSE,NJ
884394,SPY,SPDR S&P 500 ETF TRUST,,,NYSE,NY
824046,LVMHF,LVMH MOET HENNESSY LOUIS VUITTON,2080,Beverages,OTC,NY
104169,WMT,Walmart Inc.,5331,Retail-Variety Stores,NYSE,AR
70858,BAC-PM,BANK OF AMERICA CORP /DE/,6021,National Commercial Banks,NYSE,NC
80424,PG,PROCTER & GAMBLE Co,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",NYSE,OH
1141391,MA,Mastercard Inc,7389,"Services-Business Services, NEC",NYSE,NY
1577552,BABAF,Alibaba Group Holding Ltd,7389,"Services-Business Services, NEC",OTC,Hong Kong
937966,ASMLF,ASML HOLDING NV,3559,"Special Industry Machinery, NEC",OTC,Netherlands
796343,ADBE,ADOBE INC.,7372,Services-Prepackaged Software,Nasdaq,CA
78003,PFE,PFIZER INC,2834,Pharmaceutical Preparations,NYSE,NY
1341439,ORCL,ORACLE CORP,7372,Services-Prepackaged Software,NYSE,CA
1744489,DIS,Walt Disney Co,7990,Services-Miscellaneous Amusement & Recreation,NYSE,CA
1065280,NFLX,NETFLIX INC,7841,Services-Video Tape Rental,Nasdaq,CA
320187,NKE,"NIKE, Inc.",3021,Rubber & Plastics Footwear,NYSE,OR
34088,XOM,EXXON MOBIL CORP,2911,Petroleum Refining,NYSE,TX
353278,NONOF,NOVO NORDISK A S,2834,Pharmaceutical Preparations,OTC,Denmark
1730168,AVGOP,Broadcom Inc.,3674,Semiconductors & Related Devices,Nasdaq,CA
